127.0.0.1, 2018-01-28 23:08:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000176
127.0.0.1, 2018-01-28 23:08:32, GET, /welcome/default/index, HTTP/1.1, 200, 0.036221
127.0.0.1, 2018-01-28 23:08:33, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000650
127.0.0.1, 2018-01-28 23:08:33, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.001260
127.0.0.1, 2018-01-28 23:08:33, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000586
127.0.0.1, 2018-01-28 23:09:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000403
127.0.0.1, 2018-01-28 23:09:11, GET, /main/static/index.html, HTTP/1.1, 404, 0.000240
127.0.0.1, 2018-01-28 23:09:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000184
127.0.0.1, 2018-01-28 23:09:40, GET, /main, HTTP/1.1, 200, 0.059638
127.0.0.1, 2018-01-28 23:09:40, GET, /main/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000434
127.0.0.1, 2018-01-28 23:09:40, GET, /main/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.000419
127.0.0.1, 2018-01-28 23:09:40, GET, /main/static/css/calendar.css, HTTP/1.1, 304, 0.000594
127.0.0.1, 2018-01-28 23:09:40, GET, /main/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000472
127.0.0.1, 2018-01-28 23:09:40, GET, /main/static/js/jquery.js, HTTP/1.1, 304, 0.000400
127.0.0.1, 2018-01-28 23:09:40, GET, /main/static/js/calendar.js, HTTP/1.1, 304, 0.000402
127.0.0.1, 2018-01-28 23:09:40, GET, /main/static/js/web2py.js, HTTP/1.1, 304, 0.000365
127.0.0.1, 2018-01-28 23:09:40, GET, /main/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000380
127.0.0.1, 2018-01-28 23:09:40, GET, /main/static/js/share.js, HTTP/1.1, 304, 0.000375
127.0.0.1, 2018-01-28 23:09:40, GET, /main/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.000374
127.0.0.1, 2018-01-28 23:09:40, GET, /main/static/images/facebook.png, HTTP/1.1, 304, 0.000421
127.0.0.1, 2018-01-28 23:09:40, GET, /main/static/images/twitter.png, HTTP/1.1, 304, 0.001132
127.0.0.1, 2018-01-28 23:09:40, GET, /main/static/images/gplus-32.png, HTTP/1.1, 304, 0.000369
127.0.0.1, 2018-01-28 23:15:46, GET, /main/hello, HTTP/1.1, 500, 0.107209
127.0.0.1, 2018-01-28 23:15:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000296
127.0.0.1, 2018-01-28 23:15:57, GET, /admin/default/ticket/main/127.0.0.1.2018-01-28.23-15-46.6374f277-c82e-42d0-8bec-07d956d8551c, HTTP/1.1, 200, 0.154509
127.0.0.1, 2018-01-28 23:15:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000273
127.0.0.1, 2018-01-28 23:16:02, GET, /main, HTTP/1.1, 200, 0.035062
127.0.0.1, 2018-01-28 23:16:03, GET, /main/static/images/twitter.png, HTTP/1.1, 304, 0.000413
127.0.0.1, 2018-01-28 23:16:03, GET, /main/static/images/gplus-32.png, HTTP/1.1, 304, 0.000391
127.0.0.1, 2018-01-28 23:16:26, GET, /main/hello, HTTP/1.1, 500, 0.060976
127.0.0.1, 2018-01-28 23:16:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000200
127.0.0.1, 2018-01-28 23:16:29, GET, /admin/default/ticket/main/127.0.0.1.2018-01-28.23-16-26.54e1ac2c-26b4-4020-8a2f-3f3258fcce1d, HTTP/1.1, 200, 0.049116
127.0.0.1, 2018-01-28 23:16:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000216
127.0.0.1, 2018-01-28 23:17:10, GET, /, HTTP/1.1, 303, 0.022269
127.0.0.1, 2018-01-28 23:17:10, GET, /welcome/default/index, HTTP/1.1, 200, 0.142284
127.0.0.1, 2018-01-28 23:17:10, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000404
127.0.0.1, 2018-01-28 23:17:10, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.000459
127.0.0.1, 2018-01-28 23:17:10, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000419
127.0.0.1, 2018-01-28 23:17:10, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000404
127.0.0.1, 2018-01-28 23:17:10, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000377
127.0.0.1, 2018-01-28 23:17:10, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000394
127.0.0.1, 2018-01-28 23:17:10, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000335
127.0.0.1, 2018-01-28 23:17:10, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000363
127.0.0.1, 2018-01-28 23:17:10, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.000387
127.0.0.1, 2018-01-28 23:17:10, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000373
127.0.0.1, 2018-01-28 23:17:10, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.001196
127.0.0.1, 2018-01-28 23:17:10, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000619
127.0.0.1, 2018-01-28 23:17:10, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000586
127.0.0.1, 2018-01-28 23:17:18, GET, /main/hello, HTTP/1.1, 500, 0.156748
127.0.0.1, 2018-01-28 23:17:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000187
127.0.0.1, 2018-01-28 23:17:23, GET, /admin/default/ticket/main/127.0.0.1.2018-01-28.23-17-18.8a68ce55-f4f3-465e-ad65-5614f7e07d4a, HTTP/1.1, 200, 0.177866
127.0.0.1, 2018-01-28 23:17:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000315
127.0.0.1, 2018-01-28 23:17:37, GET, /main/hello, HTTP/1.1, 500, 0.044044
127.0.0.1, 2018-01-28 23:17:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000316
127.0.0.1, 2018-01-28 23:17:57, GET, /main, HTTP/1.1, 200, 0.042122
127.0.0.1, 2018-01-28 23:17:57, GET, /main/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001317
127.0.0.1, 2018-01-28 23:17:57, GET, /main/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.002063
127.0.0.1, 2018-01-28 23:17:57, GET, /main/static/css/calendar.css, HTTP/1.1, 304, 0.001639
127.0.0.1, 2018-01-28 23:17:57, GET, /main/static/js/calendar.js, HTTP/1.1, 304, 0.000674
127.0.0.1, 2018-01-28 23:17:57, GET, /main/static/js/jquery.js, HTTP/1.1, 304, 0.002401
127.0.0.1, 2018-01-28 23:17:57, GET, /main/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001745
127.0.0.1, 2018-01-28 23:17:57, GET, /main/static/js/web2py.js, HTTP/1.1, 304, 0.000378
127.0.0.1, 2018-01-28 23:17:57, GET, /main/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000403
127.0.0.1, 2018-01-28 23:17:57, GET, /main/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.000949
127.0.0.1, 2018-01-28 23:17:57, GET, /main/static/js/share.js, HTTP/1.1, 304, 0.000580
127.0.0.1, 2018-01-28 23:17:57, GET, /main/static/images/twitter.png, HTTP/1.1, 304, 0.000485
127.0.0.1, 2018-01-28 23:17:57, GET, /main/static/images/facebook.png, HTTP/1.1, 304, 0.000977
127.0.0.1, 2018-01-28 23:17:57, GET, /main/static/images/gplus-32.png, HTTP/1.1, 304, 0.000612
127.0.0.1, 2018-01-28 23:18:02, GET, /main/hello, HTTP/1.1, 500, 0.039523
127.0.0.1, 2018-01-28 23:18:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000192
127.0.0.1, 2018-01-28 23:19:23, GET, /, HTTP/1.1, 303, 0.020097
127.0.0.1, 2018-01-28 23:19:23, GET, /welcome/default/index, HTTP/1.1, 200, 0.169173
127.0.0.1, 2018-01-28 23:19:23, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.001350
